Tanggal,No Faktur,Nama Supplier,Jenis Pembelian,Deadline,Kode Obat,Nama Obat,Tgl.Expired,Jumlah,Harga Beli,Diskon,Pajak,Nilai Total,Total Transaksi
15/02/2024,"INV-42003/2402
/64255",KDE (KARYA DWI ELANG),HUTANG,12/3/2024,OBT006,OBH COMBI ANAK JERUK BATUK PLUS FLU 60ML,1/11/2025,3,"13850,00","4,00%","11,00%","44275,68","74.407,74"
,,,,,OB043,OBH COMBI PLUS ANAK STRAW 60ML,12/10/2025,2,"13850,00","2,00%","11,00%","30132,06",
15/02/2024,"SNR124SMG0010
02308",JAVAS TRIPTA GEMALA (JTG),HUTANG,12/3/2024,H027,OB HERBAL 60ML,1/1/2025,3,"14110,00","0,00%","0,00%","42330,00","59.610,00"
,,,,,H028,OB HERBAL 30ML,1/1/2025,3,"7200,00","20,00%","0,00%","17280,00",
16/02/2024,"INV-42003/2402
/65117",KDE (KARYA DWI ELANG),HUTANG,17/03/2024,OL020,MINYAK ANGIN KAPAK 5ML,1/7/2027,3,"8634,00","3,00%","11,00%","27888,69","924.249,86"
,,,,,OK085,IMODIUM,12/11/2026,10,"75145,00","4,00%","11,00%","800745,10",
,,,,,OK086,MEDIKLIN 1% GEL 15GR,12/12/2025,2,"25180,00","9,00%","11,00%","50868,64",
,,,,,OK087,MEDIKLIN TR GEL,12/1/2026,1,"44300,00","9,00%","11,00%","44747,43",
16/02/2024,"INV-42003/2402
/65118",KDE (KARYA DWI ELANG),HUTANG,17/03/2024,OBT049,ACTIFED MERAH SYR 60ML,1/3/2026,2,"52400,00","1,00%","11,00%","115164,72","172.747,08"
,,,,,OBT050,ACTIFED HIJAU SYR 60ML,1/2/2026,1,"52400,00","1,00%","11,00%","57582,36",
19/02/2024,"INV-42003/2402
/65571",KDE (KARYA DWI ELANG),HUTANG,20/03/2024,OL089,FRESHCARE TEENS,1/12/2026,3,"9240,00","10,00%","11,00%","27692,28","754.619,06"
,,,,,AK050,OTSU INFUS 500 ML,1/9/2025,5,"6913,00","3,00%","11,00%","37216,15",
,,,,,OL090,CANESTEN CR 5G,1/1/2025,3,"22400,00","9,00%","11,00%","67878,72",
,,,,,OL076,NEO ULTRASILINE CR 5GR,1/11/2026,5,"7642,00","5,00%","11,00%","40292,45",
,,,,,OBT071,INCIDAL TAB,1/2/2026,8,"15238,62","13,00%","11,00%","117727,52",
,,,,,VS009,ENERVON ACTIVE 30'S,1/7/2025,1,"33733,00","3,00%","11,00%","36320,32",
,,,,,VS008,ENERVON C TAB 30'S,1/8/2025,2,"31000,00","3,00%","11,00%","66755,40",
,,,,,H033,KAPSIDA,1/9/2028,2,"12162,00","4,00%","11,00%","25919,66",
,,,,,OK010,ANDALAN PIL KB,1/5/2028,10,"15040,00","6,00%","11,00%","156927,40",
,,,,,OK011,ANDALAN LAKTASI PIL KB,1/5/2027,2,"10775,00","9,00%","11,00%","21767,66",
,,,,,OK090,MEFINAL 500MG,1/10/2025,10,"14500,00","3,00%","11,00%","156121,50",
19/02/2024,"INV-42003/2402
/65572",KDE (KARYA DWI ELANG),HUTANG,20/03/2024,OBT088,BISOLVON EXT 60ML,1/2/2026,2,"42145,00","5,00%","11,00%","88883,80","299.471,55"
,,,,,OBT089,BISOLVON KIDS STRW,1/7/2025,2,"39657,00","5,00%","11,00%","83636,62",
,,,,,OBT090,BODREXIN PE FLU BATUK BERDAHAK,1/11/2025,3,"9909,00","6,00%","11,00%","31017,15",
,,,,,H026,TILUNG12`S,1/11/2026,2,"21650,00","1,00%","11,00%","47582,38",
,,,,,H024,VERMINT CAP 30'S,1/12/2024,2,"22000,00","1,00%","11,00%","48351,60",
19/02/2024,"INV-42003/2402
/65573",KDE (KARYA DWI ELANG),HUTANG,20/03/2024,AK002,KONDOM FIESTA ULTRASAFE 3'S,1/1/2028,3,"11855,00","10,00%","11,00%","35529,45","35.529,45"
19/02/2024,"INV-42003/2402
/65574",KDE (KARYA DWI ELANG),,20/03/2024,OBT030,ANACETINE PLUS SYR 60 ML,1/12/2025,1,"8900,00","4,00%","11,00%","9483,84","266.807,70"
,,,,,OBT031,HUFAGRIP BP HIJAU SYRUP 60 ML,1/1/2027,6,"16429,00","7,00%","11,00%","101757,96",
,,,,,OBT032,HUFAGRIP FLU KUNING SYRUP 60 ML,1/9/2026,6,"18768,00","7,00%","11,00%","116245,26",
,,,,,OBT072,OBH COMBI PLUS DWS MENTHOL 60 ML,1/10/2025,3,"12300,00","4,00%","11,00%","39320,64",
19/02/2024,"INV-42003/2402
/65575",KDE (KARYA DWI ELANG),HUTANG,20/03/2024,OBT085,VICKS F44 DWS 27ML,1/8/2025,3,"8541,00","5,00%","11,00%","27019,44","27.019,44"
22/02/2024,"INV-42003/2402
/67167",KDE (KARYA DWI ELANG),HUTANG,23/03/2024,H034,LISTERINE COOL MINT 100ML,1/10/2026,2,"7550,00","5,00%","11,00%","15922,96","1.074.048,05"
,,,,,H031,LISTERINE COOL MINT 250ML,1/9/2026,1,"7550,00","5,00%","11,00%","7961,48",
,,,,,OL091,HERBORIST MYK ZAITUN 150ML,1/9/2026,1,"26665,00","1,00%","11,00%","29302,17",
,,,,,OL092,HERBORIST MYK ZAITUN 75ML,1/10/2026,2,"16985,00","1,00%","11,00%","37329,64",
,,,,,VS047,IMBOOST 4`S,1/11/2026,5,"14280,00","5,00%","11,00%","75291,30",
,,,,,OB035,PROMAG TAB,1/9/2025,30,"6765,00","4,00%","11,00%","216263,40",
,,,,,OK068,CATAFLAM 50MG,1/8/2026,5,"59917,60","4,00%","11,00%","319241,00",
,,,,,OK010,ANDALAN PIL KB,1/8/2028,6,"12765,00","5,00%","11,00%","80764,14",
,,,,,VS045,IMUNPED,1/6/2025,1,"48050,00","5,00%","11,00%","50668,73",
,,,,,VS046,IMBOOST BONE,1/8/2025,20,"9400,00","5,00%","11,00%","198246,00",
,,,,,VS004,CDR EFF 10'S TUBE,1/8/2025,1,"41710,00","7,00%","11,00%","43057,23",
22/02/2024,"INV-42003/2402
/67168",KDE (KARYA DWI ELANG),HUTANG,23/03/2024,VS005,CDR EFF 15'S TUBE,1/8/2025,1,"58200,00","7,00%","11,00%","60079,86","241.514,70"
,,,,,VS048,REDOXON 15`S TUBE,16/03/2025,2,"38800,00","5,00%","11,00%","81829,20",
,,,,,VS049,CDR EFF 12`S STRIP,1/11/2025,12,"8040,75","7,00%","11,00%","99605,64",
22/02/2024,"INV-42003/2402
/67169",KDE (KARYA DWI ELANG),HUTANG,23/03/2024,OBT049,ACTIFED MERAH SYR 60ML,1/4/2026,1,"52400,00","1,00%","11,00%","57582,36","115.164,72"
,,,,,OBT050,ACTIFED HIJAU SYR 60ML,1/4/2026,1,"52400,00","1,00%","11,00%","57582,36",
24/02/2024,03405/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,29/05/2024,VS027,CAVIPLEX TAB,1/10/2025,10,"7770,00","20,00%","0,00%","62160,00","301.832,15"
,,,,,OK040,ALLOPURINOL 100MG,29/05/2025,10,"2886,00","20,00%","0,00%","23088,00",
,,,,,H021,LASERIN SYR 60ML,1/3/2027,2,"12313,23","5,00%","0,00%","23395,14",
,,,,,OB011,"COOLING 5 PLUS ORANGE
15ML",30/09/2025,2,"37740,00","10,00%","0,00%","67932,00",
,,,,,OB023,MICROLAX GEL,1/1/2027,2,"20812,50","10,00%","0,00%","37462,50",
,,,,,OL0102,"LACTACYD BBY GENTLE
150ML",1/3/2025,1,"65060,43","5,00%","0,00%","61807,41",
,,,,,OL103,"LACTACYD BBY GENTLE
60ML",29/06/2026,1,"27354,84","5,00%","0,00%","25987,10",
26/02/2024,03588/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,29/05/2024,OK098,ERLAMYCETIN EAR DROP,1/10/2025,2,"9897,51","8,00%","0,00%","18211,42","304.915,69"
,,,,,AK007,BETADINE SOL. 5ML,1/12/2026,3,"5683,20","5,00%","0,00%","16197,12",
,,,,,OL0104,NEBACETINE PWD,1/10/2026,2,"25530,00","10,00%","0,00%","45954,00",
,,,,,OBT037,ROHTO COOL,1/9/2026,3,"15735,00","7,00%","0,00%","43900,65",
,,,,,OL104,MEDICATE OIL 12 ML,1/12/2026,1,"16650,00","5,00%","0,00%","15817,50",
,,,,,OK099,VENARON HD,1/1/2025,30,"6105,00","10,00%","0,00%","164835,00",
28/02/2024,03932/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,29/05/2024,OB037,DEGIROL 10'S,1/6/2027,10,"1176,60","0,00%","0,00%","11766,00","558.874,23"
,,,,,OK095,"ERLAMYCETIN PLUS EYE
DROP",1/5/2025,2,"13478,58","8,00%","0,00%","24800,58",
,,,,,OK0100,ERLAMYCETIN EYE DROP,1/5/2025,3,"9990,00","8,00%","0,00%","27572,40",
,,,,,PB006,BYE BYE FEVER 0-2 TH,1/8/2026,20,"6439,11","3,00%","0,00%","124918,80",
,,,,,PB007,BYE BYE FEVER ANAK,1/8/2026,20,"9167,49","3,00%","0,00%","177849,40",
,,,,,OK052,"HYDROCORTISONE 1% CR
5G",1/10/2028,6,"4440,00","0,00%","0,00%","26640,00",
,,,,,OK053,"HYDROCORTISONE 2,5%
CR 5G",1/8/2028,3,"5827,50","0,00%","0,00%","17482,50",
,,,,,AK008,BETADINE SOL. 15ML,1/1/2027,3,"14763,00","5,00%","0,00%","42074,55",
,,,,,OL060,SCANOVIR KR,1/8/2026,2,"32800,00","30,00%","0,00%","45920,00",
,,,,,OL105,HOT IN CR 60G,1/10/2026,3,"21000,00","5,00%","0,00%","59850,00",
29/02/2024,04157/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,29/05/2024,AK001,AKURAT,1/2/2026,25,"10545,00","15,00%","0,00%","224081,25","539.497,20"
,,,,,OL012,SALONPAS KOYO HIJAU,1/2/2026,20,"6214,89","5,00%","0,00%","118083,00",
,,,,,OK041,ACIFAR 400MG,1/11/2025,9,"11292,33","10,00%","0,00%","91467,90",
,,,,,OL049,ACIFAR KRIM,1/11/2026,5,"6631,14","10,00%","0,00%","29840,15",
,,,,,OL043,BETASON N KRIM 5GR,1/7/2025,5,"16483,50","20,00%","0,00%","65934,00",
,,,,,OK063,AMBROXOL TAB,1/10/2025,10,"1009,09","0,00%","0,00%","10090,90",
1/3/2024,00135/PJ/02/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,29/05/2024,OBT028,"CENDO AUGENTONIC ED
5ML",1/2/2026,3,"27888,75","9,10%","0,00%","76052,61","321.300,91"
,,,,,OBT040,INSTO REG 7.5ML,1/4/2026,2,"13764,00","0,00%","0,00%","27528,00",
,,,,,OL0106,KOOLFEVER ADULT,1/9/2026,6,"6678,50","3,00%","0,00%","38868,84",
,,,,,OK103,VESPERUM SYR,1/1/2026,2,"5772,00","10,00%","0,00%","10389,60",
,,,,,OK101,VITAL EAR OIL,1/8/2026,3,"14097,00","9,10%","0,00%","38442,51",
,,,,,OK060,DOMPERIDONE 10MG,1/3/2025,10,"4072,81","0,00%","0,00%","40728,10",
,,,,,AK019,ULTRAFIX 5x5CM,1/5/2025,5,"15651,00","25,00%","0,00%","58691,25",
,,,,,VS070,SAKATONIK ABC ANGGUR,1/3/2025,2,"15300,00","0,00%","0,00%","30600,00",
4/3/2024,00434/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,30/05/2024,AK053,DARYANTULLE BOX 10'S,1/1/2025,10,"24054,50","5,00%","0,00%","228517,80","658.807,92"
,,,,,OK026,GENOINT 15GR,1/9/2025,3,"4995,00","8,00%","0,00%","13786,20",
,,,,,OL051,SCABIMITE CR 10 G,1/6/2026,2,"53679,60","15,00%","0,00%","91255,32",
,,,,,OL108,SCABIMITE CR 30GR,1/11/2025,1,"89466,00","15,00%","0,00%","76046,10",
,,,,,OK032,KADITIC 50 MG,1/1/2026,5,"3085,00","10,00%","0,00%","13882,50",
,,,,,OBT039,"MYCORAL
(KETOCONAZOLE 2% KRIM)
5GR",1/6/2025,5,"17760,00","15,00%","0,00%","75480,00",
,,,,,OBT094,"BREATHY NASAL SPRAY (
BNS)",1/2/2026,1,"88800,00","10,00%","0,00%","79920,00",
,,,,,OB045,PHAROLIT,1/7/2025,60,"1480,00","10,00%","0,00%","79920,00",
4/3/2024,00443/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,30/05/2024,OL026,CALLUSOL 10ML,1/11/2025,2,"28860,00","4,00%","0,00%","55411,20","359.630,52"
,,,,,OB046,PROMAG GAZERO CAIR,1/10/2025,12,"2050,00","0,00%","0,00%","24600,00",
,,,,,H002,"TOLAK ANGIN CAIR ANAK
10ML",1/8/2025,48,"2517,20","5,00%","0,00%","114784,32",
,,,,,VS036,BECOM C CAPLET,1/9/2025,10,"18315,00","10,00%","0,00%","164835,00",
6/3/2024,00859/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,30/05/2024,OL109,JF SULFUR DERMAMED,1/9/2027,2,"11710,50","5,00%","0,00%","22249,94","292.945,54"
,,,,,OK040,ALLOPURINOL 100MG,1/11/2025,20,"2886,00","20,00%","0,00%","46176,00",
,,,,,OK100,ALLOPURINOL 300MG,1/5/2025,20,"4662,00","7,50%","0,00%","86247,00",
,,,,,OK042,OMERIC 100MG,1/9/2025,20,"2808,30","5,00%","0,00%","53357,60",
,,,,,AK055,ULTRAFIX BOX 5X1,1/5/2028,10,"3330,00","25,00%","0,00%","24975,00",
,,,,,OB029,POLYSILANE SUS 100ML,1/6/2026,3,"22200,00","10,00%","0,00%","59940,00",
7/3/2024,01080/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,30/05/2024,PK019,"ANLENE GOLD COKLAT
240G",1/5/2025,1,"48333,95","3,00%","0,00%","46883,93","393.132,76"
,,,,,PK018,"ANLENE GOLD VANILA
240G",1/5/2025,1,"48333,95","3,00%","0,00%","46883,93",
,,,,,OK104,ALOFAR 300MG,1/7/2027,10,"6804,20","10,00%","0,00%","61237,80",
,,,,,OK105,ALLOFAR 100MG,1/7/2025,10,"3070,50","10,00%","0,00%","27634,50",
,,,,,VS039,CALCIFAR PLUS KAP,1/7/2026,20,"1974,90","10,00%","0,00%","35548,20",
,,,,,OL045,DEXIGEN CR 5G,1/10/2027,5,"9760,00","10,00%","0,00%","43920,00",
,,,,,OL120,ZORALIN CR,1/9/2026,3,"23143,50","40,00%","0,00%","41658,30",
,,,,,PK020,TROPICANA DIABTX 25'S,1/12/2026,2,"24420,00","3,00%","0,00%","47374,80",
,,,,,PK021,TROPICANA 50'S,1/10/2026,1,"43290,00","3,00%","0,00%","41991,30",
7/3/2024,01082/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,30/05/2024,OBT070,LERZIN SYR 60ML,1/12/2027,2,"6216,00","10,00%","0,00%","11188,80","377.563,27"
,,,,,OBT081,MIXAGRIP FLU,1/6/2025,25,"2556,10","0,00%","0,00%","63902,50",
,,,,,OBT096,SILADEX HIJAU,1/11/2025,5,"13542,00","3,00%","0,00%","65678,70",
,,,,,OBT073,OBH NELCO SPC PE 100ML,1/9/2026,3,"26354,09","0,00%","0,00%","79062,27",
,,,,,OB047,PRAXION,1/11/2025,3,"25530,00","10,00%","0,00%","68931,00",
,,,,,OB004,"SANMOL SYR 60ML
120MG/5ML",1/12/2025,5,"17760,00","0,00%","0,00%","88800,00",
8/3/2024,10190384,SSF (SEJAHTERA SURYA FARMA),HUTANG,26/05/2024,OL095,KLODERMA KRIM COKLAT,26/11/2026,2,"24920,00","0,00%","0,00%","49840,00","414.165,55"
,,,,,OL096,KLODERMA HIJAU,26/05/2025,1,"24920,00","0,00%","0,00%","24920,00",
,,,,,OL041,BIOPLACENTON 15G,1/7/2025,5,"28860,00","15,00%","0,00%","122655,00",
,,,,,OL058,HEROCYN 85G,11/11/2028,3,"12210,00","5,00%","0,00%","34798,50",
,,,,,OL043,BETASON N KRIM 5GR,1/8/2025,5,"18315,00","20,00%","0,00%","73260,00",
,,,,,OBT093,KOMIX TUBE,26/01/2026,8,"9200,00","0,00%","0,00%","73600,00",
,,,,,H021,LASERIN SYR 60ML,1/7/2027,3,"12313,00","5,00%","0,00%","35092,05",
9/3/2024,01406/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,26/05/2024,OB036,DEGIROL 4'S,1/1/2027,15,"4972,80","0,00%","0,00%","74592,00","657.138,02"
,,,,,OK005,CAPTOPRIL 25MG,31/08/2025,10,"1667,99","10,00%","0,00%","15011,90",
,,,,,OK039,PIROCAM 20MG,1/1/2029,5,"5550,00","25,00%","0,00%","20812,50",
,,,,,OK095,"ERLAMYCETIN PLUS EYE
DROP",26/06/2025,2,"13478,57","8,00%","0,00%","24800,56",
,,,,,PB011,CALADINE LOTION 60ML,26/10/2025,3,"15784,20","5,00%","0,00%","44984,97",
,,,,,OL098,JF SULFUR,26/09/2027,2,"11710,50","5,00%","0,00%","22249,94",
,,,,,OK009,GLIBENCLAMIDE 5MG,31/07/2025,10,"1776,00","10,00%","0,00%","15984,00",
,,,,,OBT021,FEMINAX 4'S,30/09/2028,25,"2941,48","3,00%","0,00%","71331,00",
,,,,,OL084,ONE MED RIVANOL 100ML,1/1/2027,5,"3968,25","20,00%","0,00%","15873,00",
,,,,,OL099,NEBACETINE OINT,26/11/2025,1,"24253,50","10,00%","0,00%","21828,15",
,,,,,VS036,BECOM C CAPLET,1/9/2025,20,"18315,00","10,00%","0,00%","329670,00",
9/3/2024,01417/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,26/05/2024,OBT040,INSTO REG 7.5ML,1/7/2027,5,"13153,50","0,00%","0,00%","65767,50","487.770,30"
,,,,,OL0100,"KETOCONAZOLE SALEP
GENERIK",26/02/2026,5,"8476,42","15,00%","0,00%","36024,80",
,,,,,OK048,DEXTEEM + TAB,11/8/2027,20,"4440,00","40,00%","0,00%","53280,00",
,,,,,VS035,BECOM ZET CAPLET,1/7/2025,10,"24420,00","10,00%","0,00%","219780,00",
,,,,,OK050,LORSON TAB,1/6/2026,20,"7057,38","20,00%","0,00%","112918,00",
9/3/2024,01579/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,26/05/2024,OBT030,"ANACETINE PLUS SYR 60
ML",1/11/2025,2,"9657,00","0,00%","0,00%","19314,00","269.730,00"
,,,,,OBT046,INTUNAL FORTE 10`S,26/08/2026,10,"8991,00","20,00%","0,00%","71928,00",
,,,,,OBT034,INTUNAL FORTE 4'S,1/7/2025,25,"3596,40","20,00%","0,00%","71928,00",
,,,,,OBT036,DEXTRAL TAB,1/12/2025,15,"8880,00","20,00%","0,00%","106560,00",
12/3/2024,01679/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,26/05/2024,VS031,VITALONG C BOTOL,26/03/2025,3,"38850,00","15,00%","0,00%","99067,50","582.024,12"
,,,,,OL0101,ENBATIC SALEP,26/09/2025,2,"8436,00","8,00%","0,00%","15522,24",
,,,,,OK055,CETIRIZINE TAB,1/11/2025,20,"3330,00","30,00%","0,00%","46620,00",
,,,,,OK035,LANSOPRAZOLE TAB 30MG,1/10/2026,10,"13622,47","50,00%","0,00%","68112,30",
,,,,,OK036,INTERHISTIN 50MG,1/6/2028,10,"11322,00","25,00%","0,00%","84915,00",
,,,,,OK052,"HYDROCORTISONE 1% CR
5G",1/10/2028,6,"4440,00","0,00%","0,00%","26640,00",
,,,,,OL042,BETASON CR 5GR,1/1/2026,6,"8824,50","25,00%","0,00%","39710,22",
,,,,,HO040,MADURASA ORI,26/12/2026,12,"779,50","2,00%","0,00%","9166,92",
,,,,,OB023,MICROLAX GEL,26/01/2027,3,"19055,00","10,00%","0,00%","51448,50",
,,,,,VS055,HEMAVITON CARDIO,26/02/2026,1,"17500,00","3,00%","0,00%","16975,00",
,,,,,OK031,SCANDEXON,26/08/2026,20,"1850,70","25,00%","0,00%","27760,40",
,,,,,H011,MADU TJ MURNI 250GR,1/10/2026,4,"25285,80","5,00%","0,00%","96086,04",
12/3/2024,"INV-42003/2403
/74783",KDE (KARYA DWI ELANG),HUTANG,26/05/2024,OL006,VICKS VAPORUB 10GR,1/9/2025,10,"6729,00","6,00%","11,00%","70210,40","1.242.443,97"
,,,,,OL088,PLOSSA RED HOT PANASII,1/9/2025,5,"10000,00","9,00%","11,00%","50505,00",
,,,,,OL039,BENOSON CR 5G,1/5/2028,5,"13636,00","3,00%","11,00%","73409,40",
,,,,,OL094,DAKTARIN CR,26/08/2026,3,"23740,00","2,00%","11,00%","77473,11",
,,,,,OK052,HYDROCORTISONE 1% CR 5G,1/10/2028,6,"4200,00","2,00%","11,00%","27412,56",
,,,,,OBT013,ANTIMO ANAK JERUK SYR,30/09/2025,40,"1350,00","1,00%","11,00%","59340,80",
,,,,,VS047,IMBOOST 4`S,1/11/2026,10,"14280,00","5,00%","11,00%","150582,60",
,,,,,OB027,MYLANTA TAB,1/8/2025,10,"7230,00","3,00%","11,00%","77845,40",
,,,,,OB035,PROMAG TAB,1/9/2026,36,"7210,00","4,00%","11,00%","276587,28",
,,,,,OBT092,PROMAG DOUBLE ACTION,26/05/2025,6,"10240,00","2,00%","11,00%","66834,42",
,,,,,OK090,MEFINAL 500MG,1/11/2025,20,"14500,00","3,00%","11,00%","312243,00",
12/3/2024,"INV-42003/2403
/74784",KDE (KARYA DWI ELANG),HUTANG,11/4/2025,OK034,OMEPRAZOL TAB 20 MG,1/1/2026,20,"4750,00","15,00%","11,00%","89632,60","456.491,42"
,,,,,OK092,SPIRONOLAKTON 100MG,1/10/2025,10,"9590,50","22,00%","11,00%","83034,50",
,,,,,OK093,FUROSEMID,1/11/2026,10,"2500,00","3,00%","11,00%","26917,50",
,,,,,OBT090,BODREXIN PE FLU BATUK BERDAHAK,1/10/2030,2,"10720,00","3,00%","11,00%","23084,44",
,,,,,OBT091,BODREXIN DPH FLU BATUK TDK BERDAHAK,1/11/2025,2,"10720,00","3,00%","11,00%","23084,44",
,,,,,VS050,CEREBROFIT GOLD ORANGE 100ML,1/11/2025,2,"16757,00","2,00%","11,00%","32843,72",
,,,,,OB029,POLYSILANE SUS 100ML,1/7/2026,5,"20000,00","5,00%","11,00%","105450,00",
,,,,,VS051,VIT B COMP IPI,1/9/2025,3,"4955,00","2,00%","11,00%","16170,15",
,,,,,VS052,VIT D3 IPI,1/1/2026,3,"8919,00","2,00%","11,00%","29106,27",
,,,,,VS025,IPI VITAMIN C,1/11/2025,5,"4995,00","2,00%","11,00%","27167,80",
12/3/2024,"INV-42003/2403
/74785",KDE (KARYA DWI ELANG),HUTANG,26/05/2024,H036,MADU MURNI NUSANTARA 100ML,1/1/2027,2,"32800,00","3,00%","11,00%","70631,52","229.460,10"
,,,,,OL093,MKP LANG 60 ML,1/11/2028,3,"17340,00","3,00%","11,00%","56009,94",
,,,,,VS049,CDR EFF 12`S STRIP,1/11/2025,12,"8040,75","4,00%","11,00%","102818,64",
13/03/2024,01762/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,26/05/2024,OBT074,KOMIX OBH SACH,1/6/2025,30,"1426,09","0,00%","0,00%","42782,70","857.187,60"
,,,,,HO050,KEJI BELING,11/11/2026,10,"5200,00","20,00%","0,00%","41600,00",
,,,,,VS056,FATIGON SPIRIT,26/06/2025,10,"9290,52","0,00%","0,00%","92905,20",
,,,,,OK066,ANASTAN FORTE TAB,1/9/2026,10,"3233,98","0,00%","0,00%","32339,80",
,,,,,OL076,NEO ULTRASILINE CR 5GR,1/7/2026,5,"8864,58","0,00%","0,00%","44322,90",
,,,,,OK096,FENOFIBRATE,26/05/2025,3,"133200,00","40,00%","0,00%","239760,00",
,,,,,OK034,OMEPRAZOL TAB 20 MG,1/7/2026,20,"4717,50","20,00%","0,00%","75480,00",
,,,,,OBT039,"MYCORAL
(KETOCONAZOLE 2% KRIM)
5GR",26/06/2025,3,"17760,00","15,00%","0,00%","45288,00",
,,,,,OB009,COOLING 5 CHERRY 15ML,30/06/2025,1,"35520,00","10,00%","0,00%","31968,00",
,,,,,OB011,"COOLING 5 PLUS ORANGE
15ML",30/11/2025,2,"37740,00","10,00%","0,00%","67932,00",
,,,,,OL021,"MY BABY MINYAK TELON
60ML",30/07/2026,3,"18392,00","0,00%","0,00%","55176,00",
,,,,,OK078,SCANAFLAM 50MG,26/01/2026,100,"1251,90","30,00%","0,00%","87633,00",
13/03/2024,"SNR124SMG0013
669",JAVAS TRIPTA GEMALA (JTG),HUTANG,26/05/2024,H001,ANTANGIN JRG SACHET 15ML,31/10/2025,20,"3000,00","0,00%","0,00%","60000,00","183.459,80"
,,,,,H028,OB HERBAL 30ML,1/1/2025,2,"7200,00","20,00%","0,00%","11520,00",
,,,,,HO037,OB HERBAL JR 30ML,26/05/2025,1,"7200,00","20,00%","0,00%","5760,00",
,,,,,VS054,WELLMOVE,26/05/2025,3,"15567,00","0,00%","0,00%","46701,00",
,,,,,HO038,MADU TJ JRK,26/05/2025,12,"660,45","0,00%","0,00%","7925,40",
,,,,,HO039,MADU TJ STRAW,26/05/2025,12,"660,45","0,00%","0,00%","7925,40",
,,,,,OL097,"FRESHCARE SMASH
MERAH",26/05/2025,4,"10907,00","0,00%","0,00%","43628,00",
15/03/2024,10191332,SSF (SEJAHTERA SURYA FARMA),HUTANG,26/05/2024,OK091,KALMETHASON,26/05/2025,40,"1221,00","15,00%","0,00%","41514,00","315.786,00"
,,,,,OK002,SIMVASTATIN 20MG,31/10/2027,6,"11100,00","50,00%","0,00%","33300,00",
,,,,,OB004,"SANMOL SYR 60ML
120MG/5ML",1/11/2025,5,"17760,00","0,00%","0,00%","88800,00",
,,,,,OBT053,"WOODS BIRU EXP SYR
60ML",1/8/2025,3,"19200,00","0,00%","0,00%","57600,00",
,,,,,OK094,TEMPRA FORTE,26/05/2025,2,"47286,00","0,00%","0,00%","94572,00",
16/03/2024,NPS2403-07367,LJS (LESTARI JAYA SEJAHTERA),HUTANG,29/05/2024,H026,TILUNG12`S,1/11/2026,2,"22973,00","10,00%","0,00%","41351,40","577.177,40"
,,,,,VS067,"IMBOOST FORCE COUGH
KIDS",1/8/2025,1,"37000,00","2,00%","0,00%","36260,00",
,,,,,VS069,IMBOOST COUGH KIDS,1/12/2025,2,"21600,00","7,00%","0,00%","40176,00",
,,,,,VS041,IMBOOST KID TAB,1/9/2025,3,"27000,00","3,00%","0,00%","78570,00",
,,,,,VS033,IMBOOST FORCE SYR,29/10/2025,2,"58750,00","2,00%","0,00%","115150,00",
,,,,,OK097,PRIMPERAN SYR,1/9/2027,2,"23500,00","10,00%","0,00%","42300,00",
,,,,,AK012,"HANSAPLAST ROLL 1,25CM
X 1M",1/8/2026,20,"3275,00","2,00%","0,00%","64190,00",
,,,,,VS068,NEURODEX,1/11/2025,20,"3960,00","0,00%","0,00%","79200,00",
,,,,,OBT015,ANTIMO TABLET,1/2/2026,20,"4300,00","7,00%","0,00%","79980,00",
16/03/2024,NPS2403-07374,LJS (LESTARI JAYA SEJAHTERA),HUTANG,29/05/2024,OBT055,PARATUSIN SYR 60ML,30/03/2025,4,"32650,00","10,00%","0,00%","117540,00","117.540,00"
18/03/2024,02325/PJ/03/24,SJI (SEMARANG JAYA INTERNUSA),HUTANG,12/6/2024,OK047,SUCRALFATE SUS,1/8/2027,5,"17149,50","20,00%","0,00%","68598,00","752.997,44"
,,,,,AK057,HUSADA KASSA STERIL,1/7/2026,1,"12407,50","20,00%","0,00%","9926,00",
,,,,,OB049,FASIDOL,1/10/2027,10,"3632,69","10,00%","0,00%","32694,20",
,,,,,OB050,PAMOL,1/10/2027,10,"10489,50","20,00%","0,00%","83916,00",
,,,,,VS073,RENOVIT,1/10/2027,25,"9990,00","5,00%","0,00%","237262,50",
